Dimitris Sioufas	Dimitris Sioufas,Dimitrios Droutsas,Dimitrios Grapsas,Dimitrij Rupel,Demetris Christofias,Dmitry Livanov,Antonis Samaras,Giannis Ragousis,Javier Solana,Karolos Papoulias,Victor Ponta,Andris Piebalgs,Pedro Solbes,Daniel Scioli,David Libai,Valdis Birkavs,David Dinkins,Devin Nunes,Victor Ciorbea,Morris Iemma,Boris Nemtsov,Margaritis Schinas,Dieter Althaus,Tzipi Livni,Microsoft,Alexis Tsipras,Edmund Szoka,Mauritius,Jim Molan,Chris Huhne,South Sudan,Marisa Matias,Doris Leuthard,Albio Sires,Siiri Oviir,Dmitry Mezentsev,Academia Sinica,Aamir Khan,Alastair Goodlad,M%C3%A1rio Soares,United Russia,United Nations,Lithuania,Tajikistan,Mauritania,Eiki Nestor,Antanas Mockus,Mike Simpson,Neritan Ceka,Tim Fischer
Lloyd Doggett	Lloyd Doggett,Lloyd Axworthy,Bob Dole,Leon Panetta,Scott Garrett,David Blunkett,Gary Locke,Lionel Bowen,Jim Doyle,Ted Poe,David Ige,Cory Booker,Yves Cochet,Eliot Engel,Le Point,Vlad Filat,Al Gore,Arnold Koller,Els Borst,Noel Davern,Lionsgate,Alain Berset,Bernd Lange,Leonid Gozman,Google,David Dreier,Leonid Kozhara,Ilse Aigner,Ehud Olmert,Tom Steyer,Norm Coleman,Rick Scott,John Danforth,David Dinkins,Bob Taft,Steve Daines,Howard Coble,John Warner,Al Green,Rob Andrews,Olene Walker,Geoff Davis,Dan Boren,Jay Carney,David Vitter,Tim Holden,Ron DeSantis,Greg Abbott,Tom Carper,Richard Dannatt
Peronist Youth	Peronism,Don Young,Ernest Moniz,Bill Young,Adrian Smith,Kenji Goto,Leonid Gozman,Francis Maude,Gerrit Braks,Gerrit Zalm,Werner Hoyer,Spanish Army,Spanish Navy,Luis Cruz,Pedro Carmona,Sergio Diez,Gianni Letta,Lionsgate,Finns Party,Jean Spautz,Kevin Rudd,Renato Soru,Antonio Inoki,Pedro Solbes,Leon Panetta,Port Said,PepsiCo,Morris Iemma,Chris Murphy,Kit Bond,Taro Kono,Herbert Kickl,Chris Huhne,Robin Cook,Electronic Arts,Jerry Moran,Norbert Hofer,Lesotho,Harrison Ford,Bernd Lange,Gerald Klug,John Danforth,Peter Welch,Lionel Bowen,Doris Leuthard,Claudia Nolte,Jan Kohout,Avijit Roy,Brian Cowen,George Weah
Algirdas Butkevičius	Algirdas Butkevi%C4%8Dius,Andreas Loverdos,Antanas Mockus,Valdis Birkavs,Sotirios Hatzigakis,Angela Merkel,Arab League,Andrus Ansip,Andris Piebalgs,David Dinkins,Pieter Winsemius,Mauritius,Albio Sires,Laurent Fabius,Michael Dukakis,Nikitas Kaklamanis,Alain Madelin,Lakhdar Brahimi,Siiri Oviir,Marisa Matias,Bogdan Borusewicz,Kiran Desai,Alberto Fujimori,Yuval Steinitz,Alain Berset,Giorgos Kaminis,Edelgard Bulmahn,David Ben-Gurion,Iliana Iotova,David Blunkett,Alexis Tsipras,Alfredo Barnechea,Panagiotis Beglitis,Anastasios Peponis,Lisa Murkowski,Alice Rivlin,Gerda Hasselfeldt,Renaud Dutreil,Alain Jupp%C3%A9,Charles University,United Nations,African Union,Marcus Stephen,Spyridon Flogaitis,Adrian Smith,Karolos Papoulias,James G. Stavridis,Allan Rock,Claudio Huepe,Carles Puigdemont
Melissa Bean	Melissa Bean,Mel Carnahan,Meir Dagan,Salman Khan,Yukiya Amano,Kevin Brady,Marisa Matias,Yahya Khan,Anson Chan,Rein Lang,Neritan Ceka,Noel Davern,George Weah,Aamir Khan,Deutsche Bahn,Mehdi Bazargan,Amartya Sen,Theresa May,Pakistan,Edi Rama,Marion Barry,Violeta Bulc,Greg Walden,Rebiya Kadeer,Mary Fallin,Rick Larsen,Meretz,Jim Molan,Mike Crapo,Yash Ghai,Morris Iemma,Alfred Sant,Al Green,Devin Nunes,Eritrea,Helen Clark,Jerry Brown,Lionsgate,Nigel Evans,Sierra Leone,Monika Harms,Luis Cruz,Kiran Desai,Chris Huhne,Suriname,Uzi Landau,Eli Suissa,Gibraltar,Kit Bond,Eliane Karp
Redha Malek	Redha Malek,Rebiya Kadeer,Paulo Maluf,Sanna Marin,Ed Balls,Celso Lafer,Rein Lang,Robin Hayes,Pedro Solbes,Ted Poe,Rumen Radev,Aosta Valley,Ahmed Galal,Tanja Fajon,Jaume Matas,Amr Waked,Edi Rama,Kakha Kaladze,Olene Walker,Denny Tamaki,Jim Molan,Rebecca Harms,Marco Maciel,Leszek Miller,Henk Kamp,Jelko Kacin,Marek Jurek,Martha McSally,Devin Nunes,Jerry Weller,Enda Kenny,Senegal,Geoff Davis,Peter Welch,Bernd Lange,John Warner,Yevhen Marchuk,Dean Heller,Elon Musk,Rick Larsen,Greg Walden,Jerry Moran,Bob Dole,Gerrit Zalm,Rand Paul,Robin Cook,Ehud Barak,John Key,Dick Marty,Ron Wyden
Olafur Ragnar Grimsson	%C3%93lafur Ragnar Gr%C3%ADmsson,African Union,Omar Torrijos,David Ben-Gurion,Burkina Faso,Bill Richardson,Paul Martin,Anders Fogh Rasmussen,Richard Branson,Mauno Koivisto,Paul Simon,Marju Lauristin,Jadranka Kosor,Viktor Basargin,G%C3%B6ran Persson,Isabel Carrasco,Barbara Prammer,Fleur Pellerin,Laurent Fabius,European Commission,Raffi Hovannisian,Jean-Pierre Soisson,Yevgeny Primakov,Oleksandr Kuzmuk,Turkmenistan,Lawrence Cannon,Frank Jensen,Paul Ryan,Mike Simpson,David Emerson,Mauritania,Phil Robertson,Sanna Marin,Mark Binskin,David Johnston,Werner Faymann,Ole von Beust,Afghanistan,Alexander Lentsov,Fred Thompson,James Langevin,Sam Johnson,Artur Rasizade,Vladimir Markin,Babacar Gaye,Hage Geingob,Dan Tichon,Edelgard Bulmahn,Oliver Letwin,Karim Massimov
Douglas Alexander	Douglas Alexander,Lamar Alexander,Douglas Hurd,Hugo Banzer,Duncan Kerr,Donald M. Payne,Tony Blair,John Linder,Dean Heller,Alu Alkhanov,John Boehner,Bob Menendez,Jacques Santer,Angela Merkel,Carlos Menem,Nicole Ameline,Ilse Aigner,Holy See,Arab League,Paul Reeves,John R. Allen,John Warner,Norm Coleman,Paul Ryan,Pierre Werner,John F. Tierney,Tom Steyer,Toivo Asmer,Nikolai Levichev,John Abizaid,Ernie Fletcher,Greg Walden,Carlos Santana,Andrus Ansip,Norbert Lammert,Bram Peper,Mathias Cormann,Tom Carper,John Sarbanes,Hillary Clinton,Dagestan,Mario Blejer,Dieter Althaus,Francis Maude,Rosen Plevneliev,Aosta Valley,Charlie Baker,Boris Nemtsov,Milan Uhde,South Sudan
Magomedali Magomedov	Magomedali Magomedov,Mikhail Margelov,Novruz Mammadov,Takeaki Matsumoto,Karim Massimov,Igor Klimov,Adilgerei Magomedtagirov,Blagovest Sendov,Aslan Maskhadov,Kiro Gligorov,Akhmedjan Essimov,Manfred Kanther,Ramzan Kadyrov,Angela Merkel,Lionel Bowen,Melissa Bean,Andreas Loverdos,Redha Malek,Roman Herzog,Moderate Party,Marcelo Ebrard,Jaume Matas,Michael Fallon,Walter Momper,The People of Freedom,Fred Thompson,Wangari Maathai,Hage Geingob,James Langevin,James Florio,Marco Maciel,Hartmut Bagger,Pavel Tigrid,Napoleon,Noel Davern,Mintimer Shaimiev,General Motors,Monika Harms,Marisa Matias,Vitaliy Masol,Vagit Alekperov,Rumen Radev,Giovanni Lajolo,Pavel Grachev,Miguel Arraes,Elena Salgado,Michel Mercier,Michel Barnier,Karolos Papoulias,Alexander Dzasokhov
Poul Nielson	Poul Nielson,Paul Simon,Rob Nicholson,Phil Robertson,Pete Peterson,Mike Simpson,Paul Reeves,Paul Ryan,Paul Martin,Boris Nemtsov,Paul Biya,Dave Weldon,Al Green,Norm Kelly,David Emerson,Eiki Nestor,Hans Hillen,Siv Jensen,Gavin Newsom,Paulo Maluf,Dan Tichon,Tony Blair,Roman Herzog,Sam Johnson,Noel Davern,Paul Tsongas,Napoleon,Marko Mihkelson,Yuli Edelstein,Hu Jintao,Roh Tae-woo,Holy See,Portugal,Pakistan,Montenegro,Frank Jensen,Peter Hintze,EH Bildu,Norm Coleman,Dick Celeste,Mauno Koivisto,Ed Balls,Port Said,Mark Binskin,Peter Welch,Nancy Pelosi,Dan Burton,Tom Steyer,Rick Larsen,Bill Richardson
Reinhard Klimmt	Reinhard Klimmt,Richard Nixon,Richard Caborn,Richard Bruton,Richard Dannatt,Richard Danzig,Ryszard Kalisz,Gerald Klug,Richard Blumenthal,Igor Klimov,Richard Branson,Richard Ottaway,Herbert Kickl,Harald Kujat,Bogdan Klich,Yehudah Glick,Vlad Filat,Ben Cardin,Roland Koch,Renaud Dutreil,Richard Holbrooke,Ehud Olmert,Henk Kamp,Leonid Gozman,Rein Lang,Rebiya Kadeer,Redha Malek,Mark Kirk,Anwar Sadat,Michael Flynn,Fernando Flores,Renato Soru,Werner Faymann,Lothar Bisky,Barbara Prammer,Werner Hoyer,Hans Blix,Bernd Lange,Gabi Zimmer,Arnold Koller,Gerd Leers,Hannelore Kraft,Jan Kohout,Michel Suleiman,Howard Coble,Shintaro Ishihara,Reuven Rivlin,Alain Madelin,Srgjan Kerim,Jean Charest
Hans Hækkerup	Hans H%C3%A6kkerup,Hans Hillen,Harri Holkeri,Hanno Pevkur,Hans Blix,Dean Heller,Jan Kohout,Steny Hoyer,Henk Kamp,Dale Bumpers,Jack Markell,Dan Boren,Danny Pieters,Jon Tester,Mark Warner,Yves Leterme,Olene Walker,Gary Locke,Cory Booker,Eric Holder,Gabi Zimmer,Luis Cruz,Rand Paul,Jane Harman,Hugo Banzer,Katy Perry,Mogens Lykketoft,Brian Mikkelsen,Chris Huhne,Per Unckel,Lars Barfoed,Jens Weidmann,Werner Hoyer,Mark Rutte,John Linder,Gun Hellsvik,David Vitter,Hage Geingob,Jan Pronk,Frank Jensen,Tom Steyer,Bram Peper,Frank Swaelen,John Warner,Els Borst,Erwin Huber,Mart Laar,Gerd Leers,Mario Blejer,Sonny Perdue
Progressive Movement	Progressivism,Christina Romer,Steve Rothman,Connie Morella,Andreas Loverdos,Norm Coleman,Gilles de Robien,Toivo Asmer,Leonid Gozman,Jacqueline Cramer,Marine Le Pen,Joe Lieberman,Moshe Arens,Karen Ellemann,Noel Davern,Laurenz Meyer,Patrick Mayhew,Ernest Moniz,Brian Cowen,Morris Iemma,Christine Albanel,Roscoe Bartlett,Arlene Foster,Carlos Menem,Yves Cochet,Ruprecht Polenz,Irene Pivetti,Poul Nielson,Lionel Bowen,Mogens Lykketoft,Gresham Barrett,Jochen Borchert,Joris Voorhoeve,George Weah,Patricia Scotland,Peking University,Robert Mugabe,PepsiCo,Charlie Baker,Eric Holder,Lawrence Cannon,Walter Momper,Melissa Bean,Tim Holden,Le Point,Joseph Muscat,Chelsea Manning,Wilhelm Molterer,William Cohen,Dipu Moni
Ulla Schmidt	Ulla Schmidt,Jean Schmidt,Samuel Schmid,Odilo Scherer,Elena Salgado,Milan Uhde,Rick Scott,Ilkka Suominen,Port Said,Allyson Schwartz,Emma Bonino,Els Borst,Ivor Richard,Anna Eshoo,Dick Spring,Bill Shorten,Olha Bohomolets,Smile,Yves Cochet,Ehud Olmert,Yair Lapid,Paul Simon,Yash Ghai,Vlad Filat,Idi Amin,Jan Kohout,Yury Chaika,Anwar Sadat,Le Point,Adrian Smith,Hugo Swire,Eli Suissa,Allan Rock,Uzi Landau,Mary Fallin,Ilse Aigner,Eliane Karp,Anke Fuchs,Jean Spautz,Donna Shalala,Anna Fotyga,Jane Harman,Rosa Aguilar,Al Gore,Kadima,Ana Palacio,Enda Kenny,Forza Italia,Sally Jewell,Rudolf Scharping
Union of Right Forces	Union of Right Forces,French Armed Forces,United Nations,Canadian Armed Forces,Front for Victory,Israel Defense Forces,Victor Ciorbea,Giannis Ragousis,South Korea,Lionsgate,Fernando Flores,Luis Guti%C3%A9rrez,United Russia,M%C3%A1rio Soares,Bill Ritter,Antonio Inoki,Lionel Bowen,Albio Sires,Council of Europe,University of Buenos Aires,Ant%C3%B3nio Guterres,University of Chile,Urho Kekkonen,Danny Pieters,Rudolf Seiters,Indian National Congress,Monika Harms,Antonio Brancaccio,Bill Shorten,Odilo Scherer,Ivor Richard,Moza bint Nasser,Eliot Spitzer,Rudolf Hundstorfer,John F. Tierney,Kiro Gligorov,Lyndon B. Johnson,United Arab Emirates,Antonis Samaras,Norodom Sihamoni,Hassan II of Morocco,Piet Hein Donner,Norodom Sihanouk,Spanish Army,Puerto Rico,Rick Boucher,Eiki Nestor,Allan Rock,Santiago Creel,Dan Tichon
Alexis Tsipras	Alexis Tsipras,Albio Sires,Antonis Samaras,Andrus Ansip,Alfonso Guerra,Andris Piebalgs,Eli Suissa,Jacques Chirac,Valdis Birkavs,Paul Tsongas,Alexandr Vondra,Russia,The Bahamas,Ali Abbasov,David Libai,Devin Nunes,Chris Murphy,Jerry Moran,Tzipi Livni,Luis Cruz,Vlad Filat,Chet Edwards,Morris Iemma,Kevin Brady,Peter Hintze,Melissa Bean,Boris Nemtsov,Jacques Delors,Alain Madelin,Dale Bumpers,Sheikh Hasina,Eli Lilly,Arlene Foster,Marisa Matias,Theresa May,Al Gore,Steve Daines,Siiri Oviir,Pavel Tigrid,Jens Weidmann,Els Borst,Aldo Giordano,Alain Berset,Alexei Mordashov,Gerd Leers,Alice Rivlin,Meir Dagan,Serhiy Tihipko,Aamir Khan,Yves Leterme
Rudy Giuliani	Rudy Giuliani,Aldo Giordano,Tony Blair,Tzipi Livni,Yury Luzhkov,Mary Fallin,Reuven Rivlin,Guyana,Saudi Arabia,Russia,Nancy Pelosi,Rein Lang,Todd Akin,Guido Carli,Vlad Filat,Rand Paul,Susan Collins,Jim Molan,Hans Hillen,Juan Lozano,Arne Duncan,Luiz Gushiken,Yash Ghai,South Sudan,Idi Amin,Buryatia,Alice Rivlin,Yuriy Ilyin,Yury Chaika,Nandan Nilekani,Hu Jintao,Poul Nielson,Piet Bukman,Rush Limbaugh,Rosa Aguilar,Turkmenistan,Tajikistan,Iceland,Romania,Lithuania,Mauritania,Pakistan,Bulgaria,Rick Boucher,Taiwan,Al Green,Audi,Ed Balls,Vern Buchanan,EH Bildu
Eliot L. Engel	Eliot Engel,Eliot Spitzer,Rein Lang,Eli Lilly,Bernd Lange,Pio Laghi,David L. Aaron,John R. Allen,V. P. Singh,R. P. Singh,Lionel Bowen,Edwin Feulner,Eric Cantor,Marine Le Pen,Uzi Landau,John Linder,Dick Spring,Eric Holder,Eliane Karp,Bill Young,Don Young,Elizabeth Dole,Eli Suissa,Kit Bond,Hugo Banzer,Rick Larsen,Celso Lafer,Dimitrij Rupel,Simon Coveney,Eritrea,Albio Sires,Siv Jensen,Bob Menendez,Evo Morales,Tzipi Livni,Elon Musk,Fine Gael,Stavanger,Ilse Aigner,Allan H. Meltzer,Solomon P. Ortiz,Patrick M. Hughes,John E. Sununu,Robert J. Bentley,David Ige,Robert E. Cramer,Glenn Greenwald,William Cohen,Mart Laar,Tom Steyer
Santiago Creel	Santiago Creel,William Cohen,Sanna Marin,Dan Boren,Angela Merkel,South Korea,Mario Blejer,Spanish Army,Satya Nadella,Candice Bergen,Brian Cowen,Cantabria,Sergio Diez,Canadian Army,David Dreier,Sadako Ogata,Saudi Arabia,Al Green,Duncan Kerr,Scott Garrett,Senegal,Kate Brown,Jay Carney,Rand Paul,Renato Soru,Steven Chu,David Ige,Claudio Huepe,Mike Crapo,Gabriel Oprea,Babacar Gaye,Neritan Ceka,Toivo Asmer,Daniel Scioli,Napoleon,Antonio Inoki,Salman Khan,Catalonia,Vittorio Grilli,Marco Maciel,Spanish Navy,Lothar Bisky,Rodrigo Rato,Sally Jewell,Mathias Cormann,Luis Cruz,Tatars,Guido Carli,Ian Paisley,Eliot Engel
Nikolay Dobrev	Nikolay Dobrev,Nikolai Levichev,Nikolai Patrushev,Oleg Lobov,Kiro Gligorov,Bob Dole,Milan Uhde,Howard Coble,Nicolae Timofti,Arnold Koller,Willy Claes,Lionel Bowen,Al Gore,Nick Raynsford,Dan Boren,William Cohen,South Korea,Jim Doyle,Cory Booker,Gennady Troshev,Vitaly Churkin,Akhmad Kadyrov,Dzhokhar Dudayev,Vitaliy Masol,Ludwik Dorn,Holy See,Els Borst,Douglas Hurd,Norbert Hofer,Noel Davern,Hugo Swire,Lionel Jospin,Steny Hoyer,Lincoln Chafee,Roland Koch,Jerry Moran,Jay Carney,Allan Rock,Lloyd Doggett,Brian Cowen,Gary Locke,Eiki Nestor,Nicole Ameline,Bill Ritter,Tim Holden,Simon Coveney,Bill Young,Kiran Desai,Nuon Chea,Bill Shorten
Sir Richard Dannatt	Richard Dannatt,Richard Danzig,Richard Caborn,Bill Richardson,Richard Branson,Richard Ottaway,Ivor Richard,Richard Nixon,Richard Bruton,Gresham Barrett,Reinhard Klimmt,T. Michael Moseley,African Union,Scott Garrett,Vern Buchanan,Sardinia,Michael Fallon,Michael Flynn,Michael Howard,Eric Cantor,Victor Ponta,Harald Kujat,Rick Scott,Sheikh Hasina,Norbert Lammert,Pat Buchanan,Michel Barnier,Richard Holbrooke,Eric Garcetti,Naftali Bennett,Michael Dukakis,Kiran Desai,Richard Blumenthal,Anwar Sadat,Marisa Matias,Hillary Clinton,Edelgard Bulmahn,Giuliano Amato,Meir Dagan,Giancarlo Galan,Secretary of state,Ryszard Kalisz,Okiharu Yasuoka,G%C3%A9rard Longuet,R. Nicholas Burns,Adrian Smith,Lawrence Cannon,Saudi Arabia,Burkina Faso,Lithuania
Pope Francis	Pope Francis,Port Said,France,Peronism,Tony Blair,Steve Bracks,Moshe Arens,Ron DeSantis,Anke Fuchs,Honduras,Romania,Paul Ryan,Paul Martin,Nigel Evans,Joe Crowley,Geoff Davis,Barney Frank,Bob Graham,Mike Crapo,Peter Hintze,Joseph Stalin,Tzipi Livni,John Tsang,John Sarbanes,John Dawkins,Mary Fallin,Dipu Moni,Arne Duncan,Pio Laghi,Apple Inc.,Paul Tsongas,Adobe Inc.,Pavel Grachev,Novartis,The Bahamas,Portugal,Iceland,Saudi Arabia,Cape Verde,Iran,Lithuania,Spain,Mauritania,Pakistan,Netherlands,Henrik,Bill Bradley,Ed Balls,Burundi,Paul Reeves
Mitch Landrieu	Mitch Landrieu,Mary Landrieu,Rick Larsen,Marco Maciel,Michel Barnier,Michel Mercier,Uzi Landau,Matti Vanhanen,Lithuania,Mark Warner,Mart Laar,Michel Camdessus,John Linder,Dick Marty,Kit Bond,Rick Santorum,Vince Cable,Milan Uhde,Pietro Lunardi,Dick Spring,Pio Laghi,Bernd Lange,Rick Boucher,Jack Markell,Madrid,Jay Carney,Mike Crapo,Michael Flynn,Yves Leterme,Rob Andrews,Marek Jurek,Eric Holder,Marie Bashir,Jack Layton,Richard Danzig,Celso Lafer,Jack Lew,James Langevin,Tom Carper,Bill Bradley,Bill Shorten,Tim Holden,Pascal Canfin,Ben Cardin,Kirk Fordice,Hugo Banzer,Victor Ciorbea,Andrew Lansley,Eric Cantor,Miguel Arraes
Volodymyr Khandohiy	Volodymyr Khandohiy,Volodymyr Shkidchenko,Volodymyr Lytvyn,Volodymyr Semynozhenko,Vladimir Kozhin,Vladimir Voronin,Norodom Sihamoni,Norodom Sihanouk,Vladimir Markin,Vladimir Yegorov,Solomon Passy,Aamir Khan,Salman Khan,Solomon Islands,Andriy Sadovyi,Tommy Lapid,Yahya Khan,Shlomo Ben-Ami,Muammar Gaddafi,Lloyd Axworthy,Solomon P. Ortiz,Vitaliy Masol,Vitaly Churkin,Leonid Kravchuk,Yulia Tymoshenko,Akhmad Kadyrov,Igor Kornelyuk,Viktor Basargin,Alexandr Vondra,Bogdan Klich,Aslan Maskhadov,Theodor Stolojan,Valentin Pavlov,Igor Klimov,Alu Alkhanov,Ashraf Ghani,Lakhdar Brahimi,Pavlos Geroulanos,Giorgos Kaminis,Johnny Isakson,Abdurrahman Wahid,Ed van Thijn,Taro Kono,Kim Kyong-hui,Mary Landrieu,Bobby Jindal,Yukiya Amano,Rudy Giuliani,Amanullah Khan,Rebiya Kadeer
Chaim Herzog	Chaim Herzog,Roman Herzog,Chris Huhne,Alain Berset,Chris Murphy,David Emerson,Dave Weldon,Dean Heller,Hamid Karzai,Tim Holden,Mark Pryor,Bram Peper,Jim Saxton,Jane Harman,Eiki Nestor,Dan Burton,Gavin Newsom,Wim Kok,Katy Perry,Cape Verde,Comoros,Ehud Barak,Yair Lapid,Shaul Mofaz,Dan Tichon,Jim Risch,Paul Simon,Erwin Huber,Tariq Aziz,Hage Geingob,Tom Carper,Eric Cantor,Chris Grayling,Monika Harms,Paul Martin,Sheikh Hasina,Jim Molan,Richard Danzig,Dan Boren,Mark Warner,Eric Holder,Jim Bunning,Mark Dayton,Sam Johnson,Jack Lew,Taro Kono,Julie Bishop,Paul Reeves,Hans Hillen,Rein Lang
Mark Robert Warner	Mark Warner,John Warner,Mark Rutte,Phil Robertson,Norbert Hofer,Moza bint Nasser,Mark Pryor,Mark Dayton,Norbert Lammert,Robert Mugabe,Pierre Werner,Mario Blejer,Marek Jurek,Walter Kasper,Michel Barnier,Marie Bashir,Mart Laar,Hartmut Bagger,Uri Rosenthal,Marco Maciel,Marion Barry,Barbara Prammer,Robert E. Cramer,Mark Shuttleworth,Mark Kirk,Tom Carper,Mark Binskin,Jay Carney,Robin Hayes,Jerry Weller,John Boehner,Jay Rockefeller,Charlie Baker,Greg Walden,Norm Coleman,Walter Momper,Marine Le Pen,Andrew Robathan,Ernesto Samper,Raymond Barre,Herbert Kickl,Earl Blumenauer,Werner Hoyer,Ralph Eberhart,Tarcisio Bertone,Olene Walker,Mario Barletta,Carlos Menem,Marcelo Ebrard,Jacques Santer
Ryszard Kalisz	Ryszard Kalisz,Reinhard Klimmt,Richard Caborn,Richard Danzig,Ramzan Kadyrov,Bogdan Klich,Richard Bruton,Kakha Kaladze,Gerald Klug,Roland Koch,Richard Branson,Mary Fallin,Mark Kirk,Redha Malek,Richard Nixon,Richard Dannatt,Rand Paul,Forza Italia,Ed Balls,Raymond Kelly,Aosta Valley,Leszek Miller,Walter Kasper,Akhmad Kadyrov,Jelko Kacin,Kaspar Villiger,Manuel Valls,Srgjan Kerim,Yair Lapid,Rebecca Harms,Arnold Koller,Harald Kujat,Eliane Karp,Hans Blix,Howard Coble,Hamid Karzai,Anwar Sadat,Mart Laar,Taro Kono,Michael Fallon,Sajid Javid,Rosa Aguilar,Rebiya Kadeer,Gerd Leers,Vlad Filat,Richard Ottaway,Mark Dayton,Raymond Barre,Marco Maciel,Tariq Aziz
John F. Tierney	John F. Tierney,John R. Allen,John E. Sununu,John Warner,John Boehner,John Key,John Linder,John Sarbanes,Jon Tester,John Dawkins,John Tsang,John Kufuor,John Brumby,John Danforth,John Abizaid,Jay Carney,Sonny Perdue,Enda Kenny,Ian Paisley,Johnny Isakson,R. P. Singh,Noel Davern,John Redwood,Joe Lieberman,Pierre Werner,Josh Frydenberg,V. P. Singh,Simon Coveney,Johannes Hahn,Joe Crowley,Ron Wyden,Jordi Turull,Jochen Borchert,Roh Tae-woo,Stephen F. Lynch,Donald M. Payne,Robert J. Bentley,Allan H. Meltzer,Tony O%27Reilly,Jerry Weller,Tim Fischer,Joe Knollenberg,Norm Kelly,Duncan Kerr,Juan Lozano,Jean Asselborn,L. K. Advani,Jan Pronk,Chris Murphy,Ben Cardin
Rodrigo Rato	Rodrigo Rato,Puerto Rico,Edi Rama,Burkina Faso,Adrian Smith,Port Said,Robin Hayes,Rein Lang,Andrew Card,Morocco,Fidel Castro,Robin Cook,Eric Cantor,Taro Kono,Theresa May,Boris Nemtsov,Kenji Goto,Borut Pahor,Giuliano Amato,Moderate Party,Madrid,Sadako Ogata,Gerrit Zalm,Portugal,Mauritania,Romania,Russia,Alfred Sant,Pedro Carmona,Madeira,Renato Soru,Marion Barry,Andrus Ansip,Juan Lozano,Todd Akin,Guido Carli,Roman Herzog,Harrison Ford,Nokia,Nokia,Roland Koch,Sergio Diez,Joachim Gauck,Mike Crapo,Toivo Asmer,Dick Marty,Spanish Navy,Bill Gates,Bob Taft,Microsoft
Caribbean Community	Caribbean Community,European Commission,African Union,Adrian Smith,Brian Cowen,Norbert Lammert,Canadian Army,Corina Casanova,Christian Estrosi,Mathias Cormann,Carla Del Ponte,Charles University,Simon Coveney,Marilies Flemming,Herman Van Rompuy,Hassan Rouhani,Catalonia,Neritan Ceka,Carles Puigdemont,Javier Solana,Marion Barry,Jean Spautz,Jean Schmidt,Carolina Toh%C3%A1,Marine Le Pen,William Cohen,Carolyn McCarthy,Marisa Matias,Karen Ellemann,Daniel Toribio,Chris Murphy,Christina Romer,Chelsea Manning,Ernest Moniz,Mauritania,Jan Kohout,Jean Charest,Cristina Garmendia,Susan Collins,Marie Bashir,McGill University,Karel De Gucht,Lamberto Dini,Harvard University,Narendra Modi,Barbara Prammer,Saxby Chambliss,Habib Bourguiba,Barbara Mikulski,Corazon Aquino
Sanna Marin	Sanna Marin,Tanja Fajon,Paul Martin,Cantabria,Marat Tajin,Ben Cardin,Dan Boren,Susana Martinez,Finns Party,Saudi Arabia,Spain,Jane Harman,Sajid Javid,Dan Burton,Jerry Moran,Paulo Maluf,Pascal Canfin,Salman Khan,Redha Malek,Dick Marty,Jaume Matas,Rand Paul,Marisa Matias,Marco Maciel,Mary Fallin,Emmanuel Macron,Jan Pronk,Taslima Nasrin,Alain Madelin,Anna Eshoo,Monika Harms,Yahya Khan,Jelko Kacin,Madrid,Sonny Perdue,Tony Blair,Yair Lapid,Cape Verde,Mauritania,Srgjan Kerim,Bulgaria,Pakistan,Hans Blix,Taiwan,Slovakia,Greta Garbo,Port Said,Sardinia,Henrik,Rein Lang
Jim Risch	Jim Risch,Tim Fischer,Jim Ramstad,Jim Molan,Jim Doyle,Jim Saxton,Cisco,Wim Kok,Jim Bunning,Tom Udall,Heinz Fischer,Edi Rama,Jim Prentice,Jon Tester,Eli Suissa,Julie Bishop,Dan Tichon,Tim Holden,Bill Ritter,Jan Pronk,Siv Jensen,Pio Laghi,Eli Lilly,EH Bildu,Airbus,Kit Bond,GSK plc,Smile,Sufism,Comoros,Peronism,Fiji,Sicily,Mike Crapo,Rick Scott,Ken Starr,Tom Carper,John Linder,Mark Rutte,Bob Dole,Peter Welch,Tom Steyer,Jack Lew,Rick Larsen,David Libai,Anke Fuchs,Mike Simpson,Mark Kirk,Ron Wyden,Bram Peper
Brookings Institute	Brookings Institution,Burkina Faso,Boris Nemtsov,Peking University,Law and Justice,Bill Ritter,Longin Pastusiak,Antonio Inoki,Andrus Ansip,Francis Maude,Argentina,Boeing,York University,Lionsgate,United Nations,Eiki Nestor,Progressivism,Finns Party,Uri Rosenthal,African Union,United Russia,Solomon Islands,Morris Iemma,Arab League,David Vitter,Doris Leuthard,Jeune Afrique,George Osborne,Greg Abbott,Artur Rasizade,Arlene Foster,Jim Prentice,Mark Rutte,Corina Casanova,Jyoti Basu,Erwin Huber,Irene Pivetti,Rodrigo Rato,Eric Garcetti,Jon Tester,Secretary of state,Leon Panetta,Sonny Perdue,Johnny Isakson,Mozambique,Bogdan Klich,Tajikistan,Lionel Jospin,Pakistan,Wolfgang Ischinger
