Dimitris Sioufas	Dimitrios Droutsas,Dimitrios Grapsas,Dimitrij Rupel,Dmitry Livanov,Demetris Christofias,Mário Soares,Antonis Samaras,Giannis Ragousis,Javier Solana,Mümtaz Soysal,Karolos Papoulias,Victor Ponta,Andris Piebalgs,Pedro Solbes,Daniel Scioli,Hindi cinema,David Libai,François Loos,Éric Raoult,Valdis Birkavs,David Dinkins,Devin Nunes,Victor Ciorbea,Morris Iemma,Boris Nemtsov,Dieter Althaus,Tzipi Livni,Microsoft,Margaritis Schinas,Alexis Tsipras,Edmund Szoka,Mauritius,Jim Molan,Chris Huhne,Albio Sires,South Sudan,Marisa Matias,Doris Leuthard,François Zimeray,Siiri Oviir,Dmitry Mezentsev,François Goulard,Academia Sinica,Aamir Khan,Alastair Goodlad,United Russia,United Nations,Lithuania,Tajikistan,Dimitris Sioufas
Tom Udall	Tom Carper,Tom Steyer,Bob Dole,Jim Doyle,Norm Kelly,Bob Taft,Ed Balls,Amy Adams,Tim Holden,Jim Molan,Jim Risch,Tommy Lapid,Ken Starr,Ted Poe,Ron Wyden,Don Young,Bob Graham,Per Unckel,Todd Akin,Tony Blair,John Tsang,Josef Pröll,Edi Rama,Ahmed Galal,Rand Paul,Wim Kok,Google,Tuva,Smile,Eli Lilly,Nokia,Nokia,Fine Gael,Senegal,Portugal,Comoros,Romania,Tatars,GSK plc,Port Said,Jim Saxton,Mike Crapo,Tim Fischer,Dan Boren,Al Gore,Taro Kono,Tony O'Reilly,Jon Tester,Jan Pronk,Tom Udall
Peter DeFazio	Peter Welch,Peter Wittig,Peter Hintze,Peter Phillips,Pete Peterson,Petar Gračanin,Péter Erdő,Péter Polt,Peter Cosgrove,Geoff Davis,Kiran Desai,Meir Dagan,Pietro Lunardi,Mike Crapo,James Florio,Ron DeSantis,Pavel Tigrid,Meretz,Pieter Winsemius,Denny Tamaki,Per Unckel,Dieter Althaus,Pope Francis,Ratko Mladić,Oliver Letwin,Yair Lapid,Puerto Rico,Anne Hidalgo,Sergey Menyaylo,Jerry Lewis,Ana Palacio,Paweł Kukiz,Port Said,Pavel Astakhov,Jelko Kacin,Helen Clark,Peeter Kreitzberg,Meir Sheetrit,Greta Garbo,Ze'ev Elkin,Beppe Grillo,Paul Martin,Paul Biya,Paul Reeves,Celso Lafer,Paulo Maluf,Kenji Goto,Pio Laghi,Paul Ryan,Peter DeFazio
Marko Mihkelson	Marco Maciel,Brian Mikkelsen,Mike Simpson,Mark Binskin,Mark Kirk,Jack Markell,Mark Dayton,Mário Soares,Poul Nielson,Mary McAleese,Rob Nicholson,David Emerson,Mark Warner,Mauno Koivisto,Urho Kekkonen,Éric Besson,Mario Blejer,Mark Rutte,Mario Barletta,Sam Johnson,Fred Thompson,Mark Pryor,Mary Fallin,Dave Weldon,Napoleon,Barbara Mikulski,Marcus Stephen,Frank Jensen,Marek Jurek,Göran Persson,Karim Massimov,Pete Peterson,Ratko Mladić,Raúl Rivero,David Dinkins,Karen Ellemann,David Johnston,Per Unckel,Paulo Maluf,Gary Locke,Gavin Newsom,Marat Tajin,Danny Pieters,Boris Nemtsov,Dan Tichon,Paul Simon,Taro Kono,Hans Hillen,Nancy Pelosi,Marko Mihkelson
Jorge Illueca	Joel Villanueva,José Mujica,Joseph Muscat,José Alencar,George Weah,Arne Duncan,Jordi Turull,Jerry Weller,Norm Coleman,George Shultz,Joyce Quin,Jörg Haider,Forza Italia,Josef Lux,Mario Blejer,George Habash,Joaquín Almunia,John Warner,Eric Holder,John Kufuor,Morris Iemma,Josep Piqué,John Brumby,Jürgen Ligi,Olene Walker,Karen Ellemann,Cory Booker,John Linder,Google,Moshe Arens,John Key,George Osborne,Joe Crowley,Norm Kelly,Greg Walden,Bob Dole,Aosta Valley,Joe Lieberman,Jon Tester,Harri Holkeri,Yuriy Ilyin,Jørgen Kosmo,South Korea,Darrell Issa,Javier Solana,John R. Allen,Argentina,Adobe Inc.,Apple Inc.,Jorge Illueca
Richard Branson	Richard Bruton,Richard Danzig,Richard Caborn,Richard Nixon,Richard Dannatt,Richard Ottaway,Michael Fallon,Hillary Clinton,Michael Flynn,Rick Larsen,Lothar Bisky,Richard Holbrooke,Richard Blumenthal,Mark Binskin,Michael E. Ryan,Mark Dayton,Terry Branstad,Sam Johnson,Éric Besson,Michel Barnier,Omar Bongo,Johnny Isakson,Edelgard Bulmahn,Lakhdar Brahimi,Reinhard Klimmt,Édith Cresson,Ryszard Kalisz,African Union,Nigel Evans,David Emerson,Dan Burton,David Johnston,Bill Richardson,Libération,Bill Bradley,Mike Simpson,Frank Jensen,Rand Paul,Raymond Barre,Kate Brown,Victor Ponta,Robert Lepikson,Jack Layton,Eric Cantor,Michael Kocáb,Roman Herzog,Lars Barfoed,Michael Howard,Mike Crapo,Richard Branson
Eli Suissa	Eli Lilly,Edi Rama,Elon Musk,Els Borst,Jim Risch,Ali Abbasov,EH Bildu,Ed Balls,Eritrea,Albio Sires,Sufism,Idi Amin,Eliot Spitzer,Airbus,Shas,Kadima,Eswatini,Eliane Karp,Uzi Landau,Tom Steyer,Lithuania,Estonia,Russia,Eiki Nestor,Abu Darda,Cisco,Slovakia,Eliot Engel,Jim Saxton,Anke Fuchs,Bill Gates,Paul Biya,Vlad Filat,Smile,Nokia,Nokia,Paul Simon,Éric Besson,Jim Ramstad,Ken Starr,Ian Paisley,Fidesz,Eric Cantor,Libya,José Mujica,Fulvio Rossi,Erwin Huber,Al Gore,Julie Bishop,Eli Suissa
Konstantine Gamsakhurdia	Zviad Gamsakhurdia,Kostyantyn Gryshchenko,Cristina Garmendia,Aslan Maskhadov,Longin Pastusiak,Kostas Skandalidis,Antonis Samaras,Kostas Karamanlis,Andranik Margaryan,Valentin Yumashev,Kōichirō Matsuura,Dennis Daugaard,Tulsi Gabbard,Catherine Tasca,Kristina Schröder,Denny Tamaki,Marie Bashir,Wangari Maathai,Kristiina Ojuland,César Gaviria,Corina Casanova,Luisa Fernanda Rudi,Connie Hedegaard,Joaquín Almunia,Moza bint Nasser,Wolfgang Gerhardt,Connie Mack III,Connie Mack IV,Viktor Basargin,Morgan Tsvangirai,Vitaly Churkin,Taslima Nasrin,Giannis Ragousis,Fareed Zakaria,Panagiotis Lafazanis,Shintaro Ishihara,Johannes Voggenhuber,Antanas Mockus,Simonetta Sommaruga,Taha Yassin Ramadan,Kristina Keneally,Ignazio Cassis,Martin Bursík,Aristotelis Pavlidis,Joaquín Balaguer,Jennifer Granholm,Hanno Pevkur,Susana Malcorra,Ioannis Varvitsiotis,Konstantine Gamsakhurdia
Harrison Ford	Marion Barry,Harri Holkeri,Taro Kono,Andrew Card,Kevin Rudd,Kit Bond,Hu Jintao,Mark Kirk,James Florio,Gabriel Oprea,Mark Pryor,Carlos Slim,Robin Cook,Carolina Tohá,Dan Boren,Anson Chan,Sergio Diez,Morris Iemma,Martin Bursík,Tariq Aziz,Neritan Ceka,Marcelo Ebrard,Renato Soru,Jerry Moran,Sardinia,Darrell Issa,Lars Barfoed,Brian Cowen,Omar Bongo,Rodrigo Rato,Narcís Serra,Gaston Flosse,Hans Blix,Hervé Morin,Maurizio Lupi,Ludwik Dorn,Yaakov Edri,Narendra Modi,Gerrit Zalm,Mário Soares,Madrid,Burkina Faso,Gary Locke,Adrian Smith,Mauritania,Mark Dayton,Al Gore,Mark Warner,Kirk Fordice,Harrison Ford
Vincent Peillon	Vince Cable,Robert Lepikson,Vincenzo Scotti,Beppe Grillo,Hans Hillen,Michael Fallon,Anne McLellan,Alice Rivlin,Valentin Pavlov,Dave Weldon,Reuven Rivlin,Göran Persson,Grace Kelly,Raymond Kelly,Nancy Pelosi,René Teulade,Daniel Scioli,Fleur Pellerin,Victor Ponta,Pete Peterson,Josef Pröll,Éric Besson,Manuel Valls,Mircea Geoană,Dean Heller,Peter Phillips,Sonny Perdue,Libération,Vittorio Grilli,Duncan Kerr,Mike Simpson,Violeta Bulc,Richard Nixon,Leszek Miller,Dan Tichon,Tony O'Reilly,Joyce Quin,Hanno Pevkur,Jens Weidmann,Fine Gael,Piet Bukman,Hage Geingob,Ian Paisley,Liese Prokop,Fianna Fáil,Finns Party,Michel Mercier,Yevgeny Primakov,African Union,Vincent Peillon
Anthony G. Brown	Jerry Brown,Kate Brown,Antonio Inoki,John R. Allen,Lionel Bowen,Anson Chan,Johnny Isakson,Antonis Samaras,António Guterres,Michael E. Ryan,David L. Aaron,John E. Sununu,Solomon P. Ortiz,Al Green,Aldo Giordano,Anne McLellan,Anna Eshoo,Alfonso Guerra,Steny Hoyer,Tony Blair,Akhmad Kadyrov,Vitaly Churkin,Tatyana Golikova,C. Boyden Gray,Pete Peterson,John F. Tierney,Stephen F. Lynch,Lyndon B. Johnson,Dan Burton,Peter Cosgrove,Jerry Moran,Scott Garrett,Al Gore,Kevin Brady,John Warner,John Kufuor,Ahmed Galal,Arne Duncan,José E. Serrano,Afghanistan,Don Young,Allan Rock,Rob Andrews,Patty Murray,Andrew Card,Marion Barry,José Bono,Brian Cowen,Richard Branson,Anthony G. Brown
Suriname	Guyana,Vietnam,Spain,Sufism,Ukraine,Sardinia,Burundi,France,Guam,Taiwan,Mauritania,Russia,Iran,Israel,Greece,Smile,Søren Gade,Benin,Senegal,Sicily,Mauritius,Brunei,Audi,Eritrea,Nokia,Nokia,Belgium,Portugal,Burkina Faso,Ninja,Pakistan,Sony,Estonia,Romania,Boeing,Bulgaria,Iceland,Slovakia,Buryatia,Shas,Peronism,Tuva,Edi Rama,Madrid,Kadima,Holy See,Amr Waked,Madeira,Latvia,Suriname
Jim Doyle	Jim Molan,Bob Dole,Jim Risch,Tim Holden,Wim Kok,Jim Saxton,Ted Poe,Tom Udall,Joe Crowley,Al Gore,Smile,Google,Kit Bond,Norm Kelly,Jim Prentice,Jim Bunning,Ed Balls,Jim Ramstad,Tim Fischer,Tom Carper,José Bono,Tom Steyer,Vince Cable,Don Young,Dan Boren,John Key,Gwen Moore,Bill Young,Gary Locke,Jay Carney,Eric Holder,Éric Raoult,Jon Tester,Eli Lilly,Siv Jensen,Ron Wyden,Jan Pronk,Cisco,Evo Morales,Jan Kohout,Abu Darda,Libya,Dipu Moni,Le Point,Lê Duẩn,Els Borst,Pio Laghi,GSK plc,Fine Gael,Jim Doyle
Maria Elena Boschi	Marie Bashir,Carolina Tohá,María Corina Machado,Marisa Matias,Carla Del Ponte,Violeta Bulc,Herbert Bösch,Arlene Foster,Mario Blejer,Marion Barry,Karel De Gucht,María Jesús Montero,Christina Romer,Iliana Iotova,Mario Barletta,Karen Ellemann,Adrian Smith,Marilyn Musgrave,Michael Kocáb,Paolo Gentiloni,David Emerson,Jadranka Kosor,Juan Almeida Bosque,Nabil Elaraby,Martin Bursík,Marju Lauristin,Mark Binskin,Moza bint Nasser,Marine Le Pen,Roland Koch,Vagit Alekperov,Kiran Desai,Mark Dayton,Madagascar,Lucien Bouchard,Narendra Modi,Brian Cowen,Jørgen Kosmo,Maciej Płażyński,M. Karunanidhi,Mário Soares,Elena Salgado,Nancy Pelosi,Bibiana Aído,Emma Bonino,Isabel Carrasco,Corina Casanova,Catherine Tasca,Mary Fallin,Maria Elena Boschi
László Kövér	Leszek Miller,Árpád Göncz,Lothar Bisky,Arnold Koller,Raúl Rivero,Duncan Kerr,Harald Kujat,Michal Kováč,Gerald Klug,Tzipi Livni,Noel Davern,Fidel Castro,Tony Blair,Holy See,Paul Otto,Josef Lux,José Bono,Josef Pröll,Roland Koch,Gábor Vona,L. K. Advani,Nigel Evans,Le Point,Bram Peper,Paul Reeves,Norm Kelly,Anson Chan,Paul Ryan,Lionel Bowen,Milan Kučan,Lech Wałęsa,Geoff Davis,Bill Ritter,Lazard,Latvia,Mark Kirk,Al Green,Toivo Asmer,Ken Starr,Mart Laar,Bill Young,Paul Biya,Werner Hoyer,Andrus Ansip,Laurenz Meyer,Erwin Huber,Jelko Kacin,Paulo Maluf,Bill Gates,László Kövér
Jean Corston	Jean Charest,Dan Burton,Jean Spautz,Jan Pronk,Juan Lozano,Ben Cardin,Dan Boren,Göran Persson,Jean Schmidt,Jean Asselborn,Jan Kohout,Els Borst,Jay Carney,Dan Tichon,Jim Saxton,Jon Tester,Jerry Moran,Brian Cowen,Jane Harman,Jack Layton,Sam Johnson,Thad Cochran,Édith Cresson,Le Point,Hervé Morin,Jim Molan,Paul Martin,Alain Berset,Jeune Afrique,Robin Cook,Norm Coleman,Pete Peterson,Pedro Carmona,José Bono,David Johnston,Dean Heller,Frank Jensen,John Kufuor,Susan Collins,Jim Ramstad,Éric Besson,Kenji Goto,John Warner,Mel Carnahan,Tanja Fajon,Eiki Nestor,Mike Crapo,John Brumby,Jørgen Kosmo,Jean Corston, Baroness Corston
Don Manzullo	Don Young,José Montilla,Leon Panetta,Tom Udall,Jack Markell,John Danforth,Duncan Kerr,Dan Burton,Tony O'Reilly,Bob Menendez,Hans Engell,Donna Shalala,Ed Balls,Rand Paul,Ian Paisley,Elon Musk,Roh Tae-woo,Lord Chancellor,Juan Lozano,Beppe Grillo,Jim Molan,Dan Tichon,Hugo Banzer,Montenegro,José Bono,Ben Cardin,Jan Kohout,John Abizaid,Josef Pröll,Aosta Valley,Bogdan Klich,Dean Heller,Dan Boren,Dick Marty,John Tsang,John Kufuor,John Sarbanes,Anne Hidalgo,Rob Nicholson,Tom Carper,Violeta Bulc,Bob Taft,Ron DeSantis,Rob Andrews,John Brumby,Rein Lang,Jordi Turull,Dipu Moni,John Warner,Don Manzullo
Lionel Frost Bowen	Lionel Jospin,Arlene Foster,Bill Shorten,Liese Prokop,Fidel Castro,Kate Brown,William Cohen,Melissa Bean,Michael Fallon,Ernest Moniz,Joe Crowley,Wilhelm Molterer,Luis Fortuño,Jerry Brown,Lionsgate,Dan Boren,Jon Tester,Peter Cosgrove,Gilles de Robien,Leonid Gozman,Norbert Hofer,Werner Hoyer,Brian Cowen,Libération,Miguel Arraes,Dianne Feinstein,Riitta Uosukainen,Oliver Letwin,Andrew Powell,Mike Simpson,Ernie Fletcher,Gwen Moore,Tim Fischer,Rick Larsen,Jim Prentice,Bill Ritter,Michael Flynn,Eiki Nestor,Herbert Bösch,Kirk Fordice,Frank Jensen,Tim Holden,Jean Asselborn,Al Green,José Bono,James Florio,Eliot Engel,Bill Bradley,Jerry Moran,Lionel Bowen
Stephen F. Lynch	Stephen W. Bosworth,Stephen Solarz,Stephen Hadley,Steve Daines,Steven Chu,Steven Mnuchin,John F. Tierney,Michael E. Ryan,John E. Sununu,John R. Allen,Solomon P. Ortiz,V. P. Singh,Apple Inc.,R. P. Singh,Peter Welch,Steve Rothman,Michael Flynn,Steve Bracks,Pope Francis,Rein Lang,Steny Hoyer,Herbert Bösch,Bernd Lange,Werner Faymann,Yevhen Marchuk,Sergey Aksyonov,Reuven Rivlin,Anthony G. Brown,Donald M. Payne,Michael Fallon,John Linder,Vern Buchanan,Simon Coveney,John Key,John Danforth,Kevin Brady,John Boehner,Adobe Inc.,Henry McLeish,John Warner,John Dawkins,John Sarbanes,Ben Cardin,Devin Nunes,Edwin Feulner,Helen Clark,Solomon Passy,Susan Collins,Barney Frank,Stephen F. Lynch
Boris Abramovich Berezovsky	Denis Berezovsky,Boris Nemtsov,Yuriy Kravchenko,Bosnia and Herzegovina,José Manuel Barroso,Joris Voorhoeve,George Radanovich,Lothar Bisky,Christoph Blocher,Boyko Borisov,Roman Herzog,Aivaras Abromavičius,Monica Lewinsky,Tarcisio Bertone,Alain Berset,Mário Soares,Blagovest Sendov,Hans van den Broek,Leonid Kravchuk,Dobrica Ćosić,Lisa Murkowski,Lord Chancellor,Vojislav Šešelj,Kristina Keneally,Nikolai Levichev,Petro Poroshenko,Mikhail Margelov,Karim Massimov,Andreas Loverdos,Ali Abbasov,Bram Peper,Valdis Birkavs,Rob Nicholson,Pavel Grachev,Richard von Weizsäcker,Norbert Lammert,Marion Barry,Bill Richardson,Guillermo Ramírez,Igor Konashenkov,Luis Gutiérrez,Éric Besson,Chris Murphy,George Voinovich,Valeriy Khoroshkovskyi,Irina Yarovaya,Christian Estrosi,Borut Pahor,David Ben-Gurion,Boris Berezovsky (businessman)
Catholic University of Rio de Janeiro	American University of Beirut,Memorial University of Newfoundland,University of Buenos Aires,University of Cape Town,University of Waterloo,University of New Brunswick,University of Ottawa,University of Chile,University of the Philippines,University of Sussex,Complutense University of Madrid,University of Los Andes (Colombia),Pontifical Catholic University of Chile,Radical Party of the Left,National Party of Australia,Charles University,Waseda University,York University,Rutgers University,McGill University,Harvard University,Vilnius University,Alberto João Jardim,Radio Television of Serbia,Liberal Democracy of Slovenia,Peking University,Communist Party of India,Workers' Party of Korea,Carolyn Cheeks Kilpatrick,Socialists' Party of Catalonia,Manuel Chaves (politician),Security Service of Ukraine,Ítalo Argentino Lúder,Carlo Azeglio Ciampi,Javier Diez Canseco,Union of Right Forces,Thierry Mariani,Christina Romer,Tarcisio Bertone,Christine Haderthauer,Connie Hedegaard,Pier Luigi Bersani,Catherine Tasca,Taha Yassin Ramadan,Adilgerei Magomedtagirov,Catherine Ashton,Nathalie Kosciusko-Morizet,Commonwealth of Nations,Loyola de Palacio,Pontifical Catholic University of Rio de Janeiro
Evripidis Stylianidis	Christos Stylianides,Tzipi Livni,Margaritis Schinas,Kostas Skandalidis,Nikitas Kaklamanis,Joseph Stalin,James G. Stavridis,Patricia Scotland,Anand Satyanand,Chris Grayling,Spyridon Flogaitis,Turkmenistan,Dimitris Sioufas,Tajikistan,Mário Soares,Panagiotis Lafazanis,Kristiina Ojuland,François Goulard,Giorgos Kaminis,Panagiotis Beglitis,Aristotelis Pavlidis,Marilies Flemming,Gerasimos Arsenis,Javier Solana,Sotirios Hatzigakis,United Nations,Brigitte Zypries,Rudy Giuliani,Hindi cinema,Port Said,Marcus Stephen,Eswatini,Audronius Ažubalis,Aivaras Abromavičius,Karolos Papoulias,David Dinkins,Carlos Slim,Theodor Stolojan,Árpád Göncz,Eric Holder,Carlos Santana,Valdis Birkavs,Ernest Moniz,Eric Cantor,Academia Sinica,Antonis Samaras,Christine Albanel,Thierry Mariani,Vangelis Meimarakis,Evripidis Stylianidis
Patrick Ollier	Patrick Hillery,Patrick Mayhew,Eric Holder,Mario Blejer,Gabriel Oprea,David Dreier,Marco Maciel,Mark Warner,Siiri Oviir,Harri Holkeri,Patrick M. Hughes,Mark Rutte,Pierre Werner,Eric Cantor,Marek Jurek,Marie Bashir,Marine Le Pen,Rick Larsen,David Vitter,Jerry Weller,Rick Boucher,Marisa Matias,Patricia Scotland,Mark Pryor,Kaspar Villiger,Mark Kirk,Dick Spring,Laurenz Meyer,Tariq Aziz,Pedro Solbes,Jack Lew,Peter Phillips,Mary Fallin,Candice Bergen,Gabi Zimmer,Leszek Miller,Jay Rockefeller,Dobrica Ćosić,Carlos Slim,Yuriy Ilyin,Éric Raoult,Bram Peper,Chris Huhne,Walter Momper,Jacques Santer,Erwin Huber,Walter Kasper,Éric Besson,Werner Hoyer,Patrick Ollier
Mansoura	Madeira,Cantabria,Nauru,Kadima,Al Gore,Mart Laar,Morocco,Tuva,Dan Boren,Palau,Lazard,Gabon,Mark Kirk,Milan Kučan,Don Young,Tatars,Lesotho,Hans Blix,Dan Burton,Catalonia,Nokia,Nokia,Honduras,Kongsberg,Sardinia,Latvia,Ninja,Abu Darda,Yash Ghai,Eritrea,Libya,Nuon Chea,Khakassia,Lê Duẩn,Shas,Senegal,Paul Biya,Elon Musk,Hezbollah,Mike Crapo,Gwen Moore,Edi Rama,Marek Jurek,Madrid,Meretz,Jane Harman,Yves Guéna,Mark Rutte,Comoros,Mansoura, Egypt
Sahabzada Yaqub Khan	Yahya Khan,Liaquat Ali Khan,Salman Khan,Amanullah Khan,Muhammad Habibur Rahman,Shankar Dayal Sharma,Jalaluddin Haqqani,Khaleda Zia,Taha Yassin Ramadan,Mehdi Bazargan,Aamir Khan,Okiharu Yasuoka,Mohammad Beheshti,Mohammad Hamid Ansari,Wangari Maathai,Amitabh Bachchan,Charles Pasqua,Hassan Rouhani,Satya Nadella,Thad Cochran,Harald Kujat,Natascha Kampusch,Richard Caborn,Susana Malcorra,Sebastian Kurz,Sanna Marin,Barbara Mikulski,Johannes Hahn,Ku Klux Klan,Sajid Javid,Abdus Samad Azad,Ashraf Ghani,Ramzan Kadyrov,Akhmad Kadyrov,Shaul Mofaz,Maher al-Assad,Hafez al-Assad,Yash Ghai,Taslima Nasrin,Mahathir Mohamad,Shintaro Ishihara,Fareed Zakaria,Baltasar Garzón,Sadako Ogata,Saxby Chambliss,Quamrul Hassan,Vijay Bahuguna,Mohammad-Ali Rajai,Abdalá Bucaram,Sahabzada Yaqub Khan
Petar Gracanin	Peter DeFazio,Pavel Grachev,Jelko Kacin,César Gaviria,Peter Wittig,Pat Buchanan,Peter Welch,Meir Dagan,Ana Brnabić,Viktor Basargin,Marat Tajin,Bob Graham,Vern Buchanan,Piet Bukman,Denny Tamaki,Pete Peterson,Per Unckel,Péter Erdő,Peter Cosgrove,Peter Phillips,Ben Cardin,Paul Martin,Pascal Canfin,Ana Palacio,Matti Vanhanen,Ashraf Ghani,Werner Faymann,Anwar Sadat,Chris Grayling,Kostas Karamanlis,Mary Fallin,Pope Francis,Greta Garbo,Ratko Mladić,Bojan Pajtić,Milan Kučan,Peter Hintze,Netherlands,Jan Pronk,Leonid Gozman,Sanna Marin,Ivan Rybkin,Steve Bracks,Mark Binskin,Pedro Carmona,Viktor Stepanov,Péter Polt,Mehdi Bazargan,Jay Carney,Petar Gračanin
Giuliano Amato	Bibiana Aído,Yukiya Amano,Adrian Smith,Rodrigo Rato,Eliane Karp,Guyana,Burkina Faso,Guido Carli,Paul Otto,Gianni Letta,William Cohen,Milan Uhde,Juan Lozano,Salman Khan,Mauno Koivisto,Milan Kučan,Iliana Iotova,Sadako Ogata,Hillary Clinton,Saudi Arabia,Mauritania,Lithuania,Bulgaria,Giovanni Lajolo,Giuseppe Pisanu,Filippo Mancuso,Eiki Nestor,Santiago Creel,Rein Lang,Paulo Maluf,Jean Spautz,Roland Koch,Hindi cinema,Fulvio Rossi,Paul Ryan,Ali Abbasov,Vlad Filat,Mike Crapo,Puerto Rico,Dan Burton,Mário Soares,Kenji Goto,Giancarlo Galan,Toivo Asmer,Allan Rock,Maurizio Lupi,Taro Kono,Luciano Pavarotti,Kevin Brady,Giuliano Amato
Ed van Thijn	Salman Khan,Adrian Smith,Dan Boren,Dan Tichon,Milan Uhde,Bogdan Klich,Milan Kučan,Brian Cowen,Steven Chu,Marat Tajin,Anson Chan,Ed Balls,Ivan Rybkin,Yahya Khan,Idi Amin,Chuvashia,Jan Pronk,Jan Kohout,Tôn Đức Thắng,Ron Wyden,Hervé Morin,Joyce Quin,Ole von Beust,Ben Cardin,John Tsang,Erwin Huber,Nuon Chea,Edi Rama,Hans Blix,Steven Mnuchin,Jürgen Ligi,Tanja Fajon,Edwin Feulner,African Union,Devin Nunes,Mel Carnahan,Edmund Szoka,Reuven Rivlin,Jean Schmidt,Srgjan Kerim,Juan Lozano,Duncan Kerr,Dan Burton,Kiran Desai,Eliane Karp,Ashraf Ghani,Allan Rock,Emma Bonino,Eswatini,Ed van Thijn
Ehud Barak	Ed Balls,Ahmed Galal,Abu Darda,Edi Rama,Paul Biya,Els Borst,Ehud Olmert,Guyana,Honduras,The Bahamas,Bulgaria,EH Bildu,Mark Kirk,Rand Paul,Meir Dagan,Paul Martin,Madeira,Dan Boren,Paul Ryan,Dick Marty,Mart Laar,Shaul Mofaz,Vlad Filat,Guido Carli,Jaume Matas,Tony Blair,Theresa May,Hamid Karzai,Thad Cochran,Elon Musk,Jane Harman,Chuvashia,Madrid,Iran,Saudi Arabia,Russia,Mauritania,Cape Verde,Estonia,Paul Otto,Henrik,Port Said,José Bono,Uzi Landau,David Libai,Rein Lang,Audi,Ben Cardin,Kadima,Ehud Barak
Dan Boren	Dan Burton,Dan Tichon,Don Young,Jan Pronk,Al Gore,Els Borst,Ron Wyden,Brian Cowen,Al Green,Jim Molan,Ben Cardin,Jay Carney,Ted Poe,Sanna Marin,Hans Hillen,Jan Kohout,Tim Holden,Lionel Bowen,Kate Brown,Gwen Moore,Kit Bond,Dean Heller,Bob Dole,Hans Blix,Omar Bongo,Juan Lozano,Alain Berset,Cantabria,Jane Harman,Dagestan,Gabon,Napoleon,EH Bildu,Abu Darda,Amr Waked,Allan Rock,Ken Starr,Jim Doyle,Ed Balls,David Ige,Taro Kono,Frank Jensen,Dale Bumpers,Le Point,Henrik,Bram Peper,Paul Biya,Duncan Kerr,Jerry Moran,Dan Boren
Batt O'Keeffe	Tony O'Reilly,Mary McAleese,Paul Reeves,Katy Perry,Enda Kenny,Gaston Flosse,Babacar Gaye,Mark Rutte,Dave Weldon,John Key,Mart Laar,Yves Leterme,Dale Bumpers,Dan Boren,Matti Vanhanen,Walter Kasper,Bob Dole,Davit Bakradze,Ehud Olmert,Bob Menendez,Lars Barfoed,Jack Markell,Bram Peper,Ruth Dreifuss,Jack Lew,Gabi Zimmer,Jay Carney,Taro Kono,Kate Brown,Gary Locke,Hans Hækkerup,Mark Kirk,Hans Hillen,Yaakov Neeman,Gerd Leers,Grace Kelly,Bill Gates,Satya Nadella,Bill Ritter,Jan Kohout,Jan Olszewski,Pat Buchanan,Bruce George,Pete Peterson,Norm Kelly,Dick Celeste,Raúl Rivero,Scott Garrett,Patty Murray,Batt O'Keeffe
Dimitrij Rupel	Dimitris Sioufas,Dimitrios Grapsas,Devin Nunes,Dimitrios Droutsas,Siiri Oviir,United Russia,Marek Jurek,Bram Peper,Claudio Huepe,Tim Fischer,Mark Rutte,Vittorio Grilli,Éric Raoult,Chris Murphy,Erwin Huber,David Ige,Dmitry Livanov,Vitaliy Masol,Jim Prentice,Rumen Radev,Jim Risch,Alain Juppé,Mário Soares,Chris Huhne,Avijit Roy,Tzipi Livni,Eliot Engel,Eritrea,Christina Romer,Kevin Rudd,Amr Waked,Yair Lapid,Aamir Khan,Maurizio Lupi,Fine Gael,Mozambique,Portugal,Israel,Milan Uhde,Agustín Rossi,Martin Bursík,Hindi cinema,Pierre Werner,Gabriel Oprea,Victor Ponta,Neritan Ceka,Santiago Creel,Ahmed Galal,Robin Hayes,Dimitrij Rupel
Michael Dukakis	Michael Howard,Michael Kocáb,Michael Flynn,Michael Fallon,Michael Ignatieff,Michael E. Ryan,Richard Danzig,Michel Barnier,Michal Kováč,Michel Mercier,Miguel Arraes,Michel Suleiman,Michael Bloomberg,Nigel Evans,Milan Kučan,Richard Dannatt,Michel Camdessus,Richard Ottaway,Kiran Desai,Manuel Valls,Mike Crapo,Mark Binskin,Marek Jurek,Peter DeFazio,France Cukjati,Shaul Mofaz,John Dawkins,Richard Caborn,Chet Edwards,Bill Gates,Charlie Baker,Paweł Kukiz,Richard Branson,Mircea Geoană,Geoff Davis,Marat Tajin,Moshe Arens,Lionel Jospin,Gilles Duceppe,Vitaly Churkin,Richard Nixon,Piet Bukman,Fareed Zakaria,Mikhail Margelov,Richard Bruton,Renaud Dutreil,T. Michael Moseley,Mikhail Gorbachev,Jacques Delors,Michael Dukakis
